"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 30 16:15:21 UTC 2022","Fri Sep 30 16:15:31 UTC 2022","10319","","Training Center","","Training Center","Verify Map Info icon should be dispalyed, when click of icon info","Verify Map Info icon should be dispalyed, when click of icon info",""
"failed","Fri Sep 30 16:15:17 UTC 2022","Fri Sep 30 16:15:21 UTC 2022","3552","","Training Center","","Training Center","Verify oversight 2 training page is displayed","Verify oversight 2 training page is displayed",""
"passed","Fri Sep 30 16:15:12 UTC 2022","Fri Sep 30 16:15:14 UTC 2022","2767","","Training Center","","Training Center","Verify In Main menu  [Training Center] should be displayed","Verify In Main menu  [Training Center] should be displayed",""
"passed","Fri Sep 30 16:15:14 UTC 2022","Fri Sep 30 16:15:15 UTC 2022","570","","Training Center","","Training Center","Verify ""Training center"" submenu should be displayed","Verify ""Training center"" submenu should be displayed",""
"passed","Fri Sep 30 16:15:50 UTC 2022","Fri Sep 30 16:15:56 UTC 2022","5792","","Training Center - Mandated Programs","","Training Center - Mandated Programs","Verify chickfil PDF is displayed","Verify chickfil PDF is displayed",""
"passed","Fri Sep 30 16:15:15 UTC 2022","Fri Sep 30 16:15:17 UTC 2022","2352","","Training Center","","Training Center","Verify "" Oversight 2 Training"" link is displayed","Verify "" Oversight 2 Training"" link is displayed",""
"failed","Fri Sep 30 16:15:31 UTC 2022","Fri Sep 30 16:15:31 UTC 2022","241","","Training Center","","Training Center","Verify Map view icon label","Verify Map view icon label",""
