"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 30 16:15:39 UTC 2022","Fri Sep 30 16:15:39 UTC 2022","118","","Training Center","","Training Center","Verify Map view icon label","Verify Map view icon label",""
"passed","Fri Sep 30 16:15:20 UTC 2022","Fri Sep 30 16:15:23 UTC 2022","2502","","Training Center","","Training Center","Verify In Main menu  [Training Center] should be displayed","Verify In Main menu  [Training Center] should be displayed",""
"passed","Fri Sep 30 16:16:00 UTC 2022","Fri Sep 30 16:16:06 UTC 2022","5832","","Training Center - Mandated Programs","","Training Center - Mandated Programs","Verify chickfil PDF is displayed","Verify chickfil PDF is displayed",""
"failed","Fri Sep 30 16:15:29 UTC 2022","Fri Sep 30 16:15:39 UTC 2022","10273","","Training Center","","Training Center","Verify Map Info icon should be dispalyed, when click of icon info","Verify Map Info icon should be dispalyed, when click of icon info",""
"passed","Fri Sep 30 16:15:23 UTC 2022","Fri Sep 30 16:15:23 UTC 2022","557","","Training Center","","Training Center","Verify ""Training center"" submenu should be displayed","Verify ""Training center"" submenu should be displayed",""
"failed","Fri Sep 30 16:15:25 UTC 2022","Fri Sep 30 16:15:29 UTC 2022","3404","","Training Center","","Training Center","Verify oversight 2 training page is displayed","Verify oversight 2 training page is displayed",""
"passed","Fri Sep 30 16:15:23 UTC 2022","Fri Sep 30 16:15:25 UTC 2022","2128","","Training Center","","Training Center","Verify "" Oversight 2 Training"" link is displayed","Verify "" Oversight 2 Training"" link is displayed",""
